,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,DEPRESSION_CrudePrev,LPA_CrudePrev,SLEEP_CrudePrev,Geolocation
683,IL,Illinois,Cook,17031,17031770202,13.9,12.8,15.7,22.5,30.1,POINT (-88.01757175 42.02444299)
684,IL,Illinois,Cook,17031,17031222200,20.8,7.7,15.1,12.1,28.4,POINT (-87.68379331 41.91591468)
685,IL,Illinois,Cook,17031,17031821500,11.2,24.1,16.6,36.9,46.5,POINT (-87.63635857 41.65146019)
686,IL,Illinois,Cook,17031,17031836500,11.7,18.0,14.8,29.7,43.5,POINT (-87.60469313 41.8276514)
687,IL,Illinois,Cook,17031,17031805201,12.2,11.5,13.6,23.4,29.9,POINT (-87.83076456 42.060809)
688,IL,Illinois,Cook,17031,17031020302,13.5,11.6,14.2,22.8,31.0,POINT (-87.69497472 42.00854757)
689,IL,Illinois,Cook,17031,17031630500,15.1,15.9,14.8,36.7,34.8,POINT (-87.68902455 41.79745838)
690,IL,Illinois,Cook,17031,17031231100,11.6,19.5,14.8,36.0,42.0,POINT (-87.71506502 41.89928799)
691,IL,Illinois,Cook,17031,17031300800,13.3,22.7,17.1,47.5,37.5,POINT (-87.70757673 41.84812988)
692,IL,Illinois,Cook,17031,17031811302,14.0,20.8,17.0,38.4,36.6,POINT (-87.85958714 41.9160995)
693,IL,Illinois,Cook,17031,17031823303,16.2,15.1,16.6,23.5,33.1,POINT (-87.72791727 41.67773652)
694,IL,Illinois,Cook,17031,17031191301,14.7,14.8,14.5,34.5,34.5,POINT (-87.78023425 41.92013964)
695,IL,Illinois,Cook,17031,17031500300,13.1,15.9,15.0,28.6,36.0,POINT (-87.60537295 41.68930398)
696,IL,Illinois,Cook,17031,17031560100,12.3,13.7,13.1,34.8,33.9,POINT (-87.74122887 41.81532181)
697,IL,Illinois,Cook,17031,17031801100,15.1,6.7,13.4,13.0,26.3,POINT (-87.71496037 42.0751447)
698,IL,Illinois,Cook,17031,17031031000,17.8,10.6,15.3,17.6,30.2,POINT (-87.67112078 41.97239503)
699,IL,Illinois,Cook,17031,17031030101,13.5,14.0,14.4,25.2,33.9,POINT (-87.65728619 41.99116421)
700,IL,Illinois,Cook,17031,17031030400,15.1,11.5,14.5,21.6,31.0,POINT (-87.67208891 41.98692166)
701,IL,Illinois,Cook,17031,17031808100,9.4,11.6,13.5,29.2,28.1,POINT (-87.79006521 42.01123227)
702,IL,Illinois,Cook,17031,17031804505,16.8,14.4,16.6,21.4,32.3,POINT (-88.17481201 41.99352758)
703,IL,Illinois,Cook,17031,17031832400,19.1,8.5,14.0,16.1,29.0,POINT (-87.69222079 41.91574582)
704,IL,Illinois,Cook,17031,17031720500,17.0,9.2,15.2,14.9,28.4,POINT (-87.68915995 41.70283993)
